channel,rate,accuracy,avg_time_sec,false_positives,false_negatives,true_positives,true_negatives,total_images
R,0,1.0,0.0304561591148376,0,0,0,100,100
R,15,0.27,0.04378808498382564,0,73,27,0,100
R,25,0.47,0.023012495040893505,0,53,47,0,100
R,35,0.66,0.025004510879516557,0,34,66,0,100
R,45,0.86,0.01838997840881343,0,14,86,0,100
R,55,0.95,0.017570440769195506,0,5,95,0,100
R,65,1.0,0.016648907661437947,0,0,100,0,100
R,75,1.0,0.03243514776229854,0,0,100,0,100
R,85,1.0,0.017694122791290238,0,0,100,0,100
R,95,1.0,0.01789583444595332,0,0,100,0,100
R,100,1.0,0.018099870681762647,0,0,100,0,100
G,0,1.0,0.018270754814147902,0,0,0,100,100
G,15,0.26,0.019898381233215284,0,74,26,0,100
G,25,0.45,0.020194032192230177,0,55,45,0,100
G,35,0.65,0.031161012649536083,0,35,65,0,100
G,45,0.86,0.016508915424346876,0,14,86,0,100
G,55,0.92,0.015443961620330762,0,8,92,0,100
G,65,0.99,0.014119577407836868,0,1,99,0,100
G,75,1.0,0.014305989742279004,0,0,100,0,100
G,85,1.0,0.014651803970336868,0,0,100,0,100
G,95,1.0,0.016279156208038284,0,0,100,0,100
G,100,1.0,0.019048998355865432,0,0,100,0,100
B,0,1.0,0.03305486917495723,0,0,0,100,100
B,15,0.23,0.015496120452880811,0,77,23,0,100
B,25,0.43,0.014908795356750439,0,57,43,0,100
B,35,0.65,0.016397860050201368,0,35,65,0,100
B,45,0.85,0.01473993062973018,0,15,85,0,100
B,55,0.93,0.01462117433547969,0,7,93,0,100
B,65,0.98,0.015559492111206007,0,2,98,0,100
B,75,0.99,0.017655990123748733,0,1,99,0,100
B,85,1.0,0.03437290191650386,0,0,100,0,100
B,95,1.0,0.015010833740234326,0,0,100,0,100
B,100,1.0,0.015425469875335652,0,0,100,0,100
RGB,0,1.0,0.03962336540222164,0,0,0,100,100
RGB,15,1.0,0.054361565113067584,0,0,100,0,100
RGB,25,1.0,0.06760300159454342,0,0,100,0,100
RGB,35,1.0,0.04406004428863522,0,0,100,0,100
RGB,45,1.0,0.03943681478500362,0,0,100,0,100
RGB,55,1.0,0.041588094234466515,0,0,100,0,100
RGB,65,1.0,0.04176547765731808,0,0,100,0,100
RGB,75,1.0,0.041039574146270706,0,0,100,0,100
RGB,85,1.0,0.041729269027709924,0,0,100,0,100
RGB,95,1.0,0.04055884599685664,0,0,100,0,100
RGB,100,1.0,0.03873231649398799,0,0,100,0,100
