channel,rate,accuracy,false_positives,false_negatives,true_positives,true_negatives,avg_time_sec,total_images
R,0,0.99,1,0,0,99,1.99215678691864,100
R,15,0.0,0,100,0,0,2.1177327060699462,100
R,25,0.01,0,99,1,0,1.8050950026512147,100
R,35,0.02,0,98,2,0,1.7815966725349426,100
R,45,0.01,0,99,1,0,1.3408655047416687,100
R,55,0.02,0,98,2,0,1.3141165733337403,100
R,65,0.03,0,97,3,0,1.3323451972007752,100
R,75,0.13,0,87,13,0,1.3729984855651856,100
R,85,0.2,0,80,20,0,1.2967661094665528,100
R,95,0.38,0,62,38,0,1.297460389137268,100
R,100,0.48,0,52,48,0,1.2749811506271362,100
G,0,1.0,0,0,0,100,1.2919640135765076,100
G,15,0.0,0,100,0,0,1.2762889289855956,100
G,25,0.0,0,100,0,0,1.2722758913040162,100
G,35,0.0,0,100,0,0,1.292370526790619,100
G,45,0.01,0,99,1,0,1.3189443469047546,100
G,55,0.04,0,96,4,0,1.2721523094177245,100
G,65,0.11,0,89,11,0,1.2759078907966614,100
G,75,0.13,0,87,13,0,1.272935299873352,100
G,85,0.29,0,71,29,0,1.2773609590530395,100
G,95,0.48,0,52,48,0,1.2767302465438843,100
G,100,0.58,0,42,58,0,1.2769883942604066,100
B,0,1.0,0,0,0,100,1.2811943531036376,100
B,15,0.01,0,99,1,0,1.274287703037262,100
B,25,0.01,0,99,1,0,1.3133376955986023,100
B,35,0.0,0,100,0,0,1.2958069348335266,100
B,45,0.01,0,99,1,0,1.2990595197677612,100
B,55,0.04,0,96,4,0,1.3075837469100953,100
B,65,0.07,0,93,7,0,1.3266739821434022,100
B,75,0.11,0,89,11,0,1.3764243245124816,100
B,85,0.23,0,77,23,0,1.3067730522155763,100
B,95,0.48,0,52,48,0,1.3054155707359314,100
B,100,0.51,0,49,51,0,1.3039898681640625,100
RGB,0,1.0,0,0,0,100,3.785167362689972,100
RGB,15,0.0,0,100,0,0,3.783061625957489,100
RGB,25,0.01,0,99,1,0,3.7860692882537843,100
RGB,35,0.0,0,100,0,0,3.8278303956985473,100
RGB,45,0.01,0,99,1,0,3.833646149635315,100
RGB,55,0.01,0,99,1,0,3.787911694049835,100
RGB,65,0.05,0,95,5,0,3.814185767173767,100
RGB,75,0.04,0,96,4,0,3.845450830459595,100
RGB,85,0.13,0,87,13,0,3.8458736324310303,100
RGB,95,0.46,0,54,46,0,3.8088331270217894,100
RGB,100,0.42,0,58,42,0,3.8088842368125917,100
